pmt_id,position_x,position_y,position_z,type_int,type_name
208,6116.59,4368.59,-3761.85,1,NORMAL
209,5927.46,4437.47,-3977.91,1,NORMAL
210,6098.110000000001,4197.66,-4001.81,1,NORMAL
211,6153.5,5041.7,-2745.3199999999997,1,NORMAL
212,5756.660000000001,5628.08,-2415.2000000000003,1,NORMAL
213,5945.78,5404.04,-2450.21,1,NORMAL
214,6134.9,5179.99,-2485.21,1,NORMAL
215,5927.5,5542.43,-2189.99,1,NORMAL
216,6116.620000000001,5318.379999999999,-2224.99,1,NORMAL
217,6098.01,5456.67,-1964.88,1,NORMAL
218,5337.02,6056.3,-2378.51,1,NORMAL
219,5325.71,6293.780000000001,-1634.22,1,NORMAL
220,5403.75,6150.119999999999,-1880.12,1,NORMAL
221,5481.78,6006.459999999999,-2126.01,1,NORMAL
222,5548.6,6100.16,-1627.8200000000002,1,NORMAL
223,5626.639999999999,5956.5,-1873.7200000000003,1,NORMAL
224,5771.25,5906.459999999999,-1621.16,1,NORMAL
225,6722.66,840.77,5012.2699999999995,1,NORMAL
226,6575.030000000001,1044.1299999999999,5167.46,1,NORMAL
227,6871.599999999999,919.77,4769.69,1,NORMAL
228,6723.88,1122.8400000000001,4925.0599999999995,1,NORMAL
229,6576.25,1326.2,5080.24,1,NORMAL
230,7020.44,998.49,4527.28,1,NORMAL
231,6872.820000000001,1201.85,4682.47,1,NORMAL
232,8314.83,805.75,-1018.6,1,NORMAL
233,8344.14,977.6600000000001,-257.1,1,NORMAL
234,8344.14,822.5,-508.16,1,NORMAL
235,8344.130000000001,667.0999999999999,-759.32,1,NORMAL
236,8373.7,683.94,-249.11,1,NORMAL
237,8373.69,528.54,-500.27,1,NORMAL
238,8403.01,390.23,-241.13,1,NORMAL
239,8294.32,1462.97,51.379999999999995,1,NORMAL
240,8324.96,1169.27,57.220000000000006,1,NORMAL
241,8355.85,875.79,63.17,1,NORMAL
242,8386.470000000001,582.0,69.24000000000001,1,NORMAL
243,8417.36,288.28,75.09,1,NORMAL
244,8302.119999999999,1320.4099999999999,309.78000000000003,1,NORMAL
245,8332.75,1026.84,315.96,1,NORMAL
246,8363.64,733.13,321.80999999999995,1,NORMAL
247,8394.28,439.66999999999996,327.74,1,NORMAL
248,8309.91,1177.98,568.52,1,NORMAL
249,8340.539999999999,884.28,574.36,1,NORMAL
250,8371.18,590.8100000000001,580.3,1,NORMAL
251,8317.71,1035.65,827.02,1,NORMAL
252,8348.35,741.9499999999999,832.86,1,NORMAL
253,8265.28,972.48,-1295.27,1,NORMAL
254,8265.29,1127.8799999999999,-1044.1,1,NORMAL
255,8265.29,1283.04,-793.04,1,NORMAL
